Name,Sale Price
Engine Oil 800 ml (Castrol) 10W/30,345
Engine Oil 800 ml (Motul) 10W/30,300
Engine Oil 900 ml (Castrol) 20W/40,355
Engine Oil 900 ml (Motul) 20W/40,310
Engine Oil 1 ltr (Castrol) 20W/40,385
Engine Oil 1 ltr (Motul) 20W/40,320
Engine Oil 1 ltr (Motul) 20W/50,400
"Suprajit Throttle Cable (Splendor, Splendor plus
Passion, Passion plus)",60
Suprajit Throttle Cable (Activa 110 cc),155
Suprajit Throttle Cable - Type B (Shine 100),75
Suprajit Throttle Cable BS6 (Pulsar 150),92
Suprajit Throttle Cable (Pulsar 180),82
"Suprajit Throttle Cable - Type A (Activa 5g, 6g)",135
"Suprajit Throttle Cable - Type B (Activa 5g, 6g)",135
"Suprajit Throttle Cable (Splendor, Splendor plus
Passion, Passion plus)",60
Suprajit Throttle Cable - Type A (Shine 125),73
Suprajit Throttle Cable - Type B (Shine 125),80
Suprajit Clutch Cable (Passion Pro),65
"Suprajit Clutch Cable (Splendor, Splendor plus
Passion, Passion plus)",60
"Suprajit Clutch Cable (Shine
SP 125)",62
"Suprajit Clutch Cable (Pulsar 125, 180,180 FI, 220 FI)",115
Suprajit Brake Cable - Front Cable - RH (with nut) (Activa 110 ),120
Suprajit Brake Cable - Front Cable - LH (with nut) (Activa 110 ),120
Suprajit Brake Cable - Rear cable (with nut) 3g/4g (Activa 110 ),155
Suprajit Brake Cable - Rear Cable Type B 3g/4g (Activa 110 ),155
"Suprajit Brake Cable - Front cable (with nut) (Splendor pro
Passion pro)",75
Suprajit Brake Cable - Front Cable (Shine 100),80
"Suprajit Brake Cable - Front cable (with nut) (Shine
CB Shine)",94
"Suprajit Brake-Clutch Combo Cable - Combo CBS (with nut) (Splendor, Splendor plus
Passion, Passion plus)",190
"Suprajit Brake-Clutch Combo Cable - Front brake cable CBS (with nut) (Splendor, Splendor plus
Passion, Passion plus)",95
Suprajit Brake-Clutch Combo Cable - CBS Cable (Shine 100),135
Suprajit Brake-Clutch Combo Cable - CBS Cable (Shine 125),160
Suprajit Brake-Clutch Combo Cable - CBS Cable Rear disk (Pulsar 125),155
Suprajit Brake-Clutch Combo Cable - CBS Cable Front drum (Pulsar 125),130
ASK Brake Shoe (Super Splendor),85
ASK Brake Shoe - F&R (Pulsar ),85
ASK Brake Shoe - F&R (Hero CD),85
Steelbird Oil Filter (Activa),42
"Steelbird Air Filter (Activa, Activa 3g
Aviator)",115
Steelbird Air Filter - Paper (Shine SP 125 ),70
Steelbird Air Filter - Paper (Shine 100),85
Steelbird Air Filter - Paper (Pulsar 125),65
"Steelbird Air Filter - Paper (Activa, Activa HET
Dio)",120
Steelbird Coupling Rubber (Shine SP 125),55
Steelbird Coupling Rubber (Shine 100),55
"Steelbird Coupling Rubber - UG3 (Pulsar
Platina
Discover)",85
Steelbird Coupling Rubber (Super Splendor),70
Steelbird Coupling Rubber (Splendor),40
Diamond Chain Kit (Super Splendor ),500
Diamond Chain Kit (Pulsar 150 UG4),735
Diamond Chain Kit (Shine 100),555
Diamond Chain Kit (Shine 125),765
Rockman Chain Kit (Splendor),510
Rockman Chain Kit (Splendor Y2K),450
Rockman Chain Kit (Shine 100),570
"Champion Spark Plug - Small (Hero CD
Splendor, Splendor plus
Splendor pro, Splendor nxg)",53
"Champion Spark Plug - Big (Pulsar 150, 180, 200
Avenger)",53
MK Clutch Assembly (Pulsar 150),700
MK Clutch Assembly (Splendor),560
MK Clutch Assembly (Shine 100),600
"MK Clutch Assembly (CD 100
Passion)",500
