Name,Address,Phone Number,Latitude,Longitude,Area
    SMART GARAGE - Shree Ganpati Bike Service Center,Ghurdaur Rd,9939993526.0,25.6335453,85.0880025,Ghurdaur Rd
    Patna bike service centre,A N college Boring Rd near Roti restorent,9431619791.0,25.6199781,85.1097187,Boring Rd
    Allied Bike Repairing centre,opposite doordarshan kendra,9431079109.0,25.61325,85.1413771,opposite doordarshan kendra
    The Bike Service Centre and towing services Saguna More Danapur,V2 Mall ke Pichhe,7979969105.0,25.6224743,85.0402694,V2 Mall
    Chandrama bike service,next to Ashirwad hospital,7004016003.0,25.6071757,85.1505888,next to Ashirwad hospital
    ARMAN BIKE SERVICE CENTRE,Banwari Chowk Dargah Rd,,25.611231,85.183586,Banwari Chowk
    Kalahanu Bajaj Service,65 Anugrah Narayan Path Patliputra,,25.6242774,85.1106156,Anugrah Narayan Path
    Aman Bike Services,Postal Park Rd,9308467526.0,25.5963117,85.1432703,Postal Park Rd
    um service & spare parts patna,Park opposite kumhrar near railway crossing,9835412726.0,25.6005834,85.1860432,opposite kumhrar
    Suzuki Two Wheeler Service Center,102 Sumitra Devi Path near kathpul,8102918024.0,25.6138682,85.1314458,Sumitra Devi Path
    Upendar Bike Service Centre,J4CG+QGM Buddha Colony Main Rd Near P.D. Public School,9955240373.0,25.6219746,85.1262981,Buddha Colony Main Rd
    Bajrangi bike servicing centre,H5G3+Q45 Jaganpura Rd,,25.5768675,85.1530031,H5G3+Q45
    Maa Durga Servicing Centre ( All Bikes),B/115 Housing Colony Kankarbagh Patna 800020 NC-115 behind Roop Saree,9798098936.0,25.595441,85.147806,NC-115
    Ramesh auto works,Bailey Rd,,25.6064933,85.0798555,Bailey Rd
    Bike Repair & Service,J54C+734 Bahadurpur Rd,,25.6056408,85.1702023,J54C+734
    The Bikes Mafia,Ground floor family restaurants jaisa market near bholo place near 10 to 10,9798944927.0,25.5831745,85.1286198,near bholo place
    Prema Honda Service Center,J P Das Lane Exhibition Rd near LIC Building near aparna appartment,7562808080.0,25.610264,85.1409213,near LIC Building
    Maa Laxmi Automobile Hero Honda Tvs Bajaj Yamaha Suzuki All Bike&Scooty Service Center,Bank of Baroda ATM,9334772865.0,25.6008839,85.1823409,Bank of Baroda ATM
