name,street,phone,x_studio_sales_rep,comment
A S bike shop,"Barchaspati nagar,kumhrar",+91 91172 05858,Manas,Spare parts of Other brand suprajit &ask Genuine but on demandUses fake lubricant or local Very less use of originals
Aafiya auto servicing centre,"Near push vihar colony Bhadraghat ,Gulzarbagh,Patna city",+91 95606 16085,Manas,"Usses - Hp*,Castrol & Valvoline on demandParts ya baki sb p kuch v nhi btaya owner ne bhot busy tha Friday ko bulaya h usne to I will revisit.Alternativ number-9560616085"
Aayan bullet,"New bypass road ,Dhelma ,ahead Ram Krishna nagar service lane",+91 90655 63434,Manas,Only uses royal Enfield original spare parts and lubricantsBut Uses motul 20-40 ltr per month And rest buys everything from r.e CNF Bihar
Aftab bike care,"Bairiya,Near Bus stand",+91 72558 19266,Manas,Bittu ji staff4-5 k per day max partsOne time visit to shop per day Local fake cable uses of honda Deal in mostly genuine parts
Ajam bajaj service centre,"Nayi sharak, nawab bahadur road ,kath k pul",+91 79036 89167,Manas,Gets motul at lessBut intrested in parts call him for parts
Ali motors mechanic,"Near Badarghat road , opposite to Nikhil furniture",+91 62027 33801,Manas,"Usses-Motul,Castrol whatever party demands he goes and buys his personal prefrence No preference in parts whatever is cheap and good quality according to the customer"
Arman bike service centre,"Dargah road ,Hanuman mandir k bagal me ,kumhrar",+91 95342 95391,Manas,"Mn cables intrested to buy on bulk demanded cable listMostly other brands stock in parts( suprajit) and lubricants ( savsol,motul )Khud nhi jate h saman lane larka hai phucha deta hai bhattacharya road sePhoenix Rollan chain kit but only for margin and jo original k saman bs whi chij h naam alg h means quality bhot accha h"
Ashok automobiles,"Sripathpur ,Sampatchak bajar se phle ,Sampatchak",+91 97098 21825,Manas,"30-40 ltr tvs mobile Castrol uses but don't buys ,Suprajit 30-32% purchasePer week purchase but 50-50 ratio of genuine and local Local - champion spark plug,minda k lock ,ask cables"
Bajaj service centre zone & washing centre,"Near Alamganj ganj thana ,Gay ghat road",+91 77610 12306,Manas,Chain kit - rolon Cables - suprajitClutch assembly - XCoupling rubber-steelbirdGayghat area k garage owners nayi sarak area se laate hai
Bhola Automobiles,"Kanti factory road,near tv tower,on naala,patna -26",+91 97088 55924,Manas,"Lubricants used-Castrol,valvoline,motul No bulk purchase(deals in single products)Parts used-Genuine and locals both Time consuming-1hrs to take lubricants and parts form market."
Bike servic point,"Bajpati nagar ,Kumhrar ,jidhar sidhi hai station k usi gali me",+91 93343 58779,Manas,30-40 ltr Valvoline Original + other parts Av season nhi hai plus customer hi jyada tar saman le ata hai plus rate aacha lga order krnege Other brand me diamond v use krte hai plus stock v rkhte hai other brands k
Biker point,"Chitragupta nagar ,Lic colony ,Kankarbagh ,Patna -20",+91 75191 59420,Manas,
Birju motorcycle,"Chandmari road corner,kankarbagh main road",+91 87094 69660,Manas,Uses Hp 1ltr at 210 monthly 20-40 ltrBreak shoe -Ask-110Cp- steel birdSwitch - minda 20-22% Sparkplug - champion 60₹- sell 100₹ mrp
Chandan bike service centre,", opposite sudha booth ,Manpur ,Bariya bajar ,Bairya",+91 91536 29005,Manas,Rohit ji - staffMax -20 ltr +20 ltr motul + Castrol( min 20ltr both)Baar baar jate hai line jitna bike aayeBudget -5k per day
